Employee Salary	Months of Experience	Gender
67.477,00 ?	37	1
68.225,00 ?	58	1
74.341,00 ?	104	1
70.785,00 ?	48	1
73.962,00 ?	98	1
68.046,00 ?	27	1
70.684,00 ?	61	1
67.878,00 ?	23	1
68.606,00 ?	35	1
67.251,00 ?	14	1
68.830,00 ?	86	0
65.555,00 ?	63	0
69.947,00 ?	102	0
66.667,00 ?	82	0
62.145,00 ?	22	0
70.890,00 ?	120	0
70.909,00 ?	108	0
63.832,00 ?	32	0
61.397,00 ?	10	0
66.563,00 ?	67	0
71.851,00 ?	119	0
63.587,00 ?	16	0
64.028,00 ?	37	0
66.882,00 ?	69	0
66.273,00 ?	69	0
62.701,00 ?	25	0
67.892,00 ?	68	0
71.482,00 ?	118	0
67.971,00 ?	99	0
65.637,00 ?	56	0
65.622,00 ?	45	0
64.324,00 ?	43	0
65.508,00 ?	49	0
66.572,00 ?	64	0
69.128,00 ?	95	0
64.571,00 ?	32	0
64.496,00 ?	25	0
71.373,00 ?	120	0
67.773,00 ?	87	0
65.600,00 ?	61	0
64.394,00 ?	51	0
62.486,00 ?	27	0
63.580,00 ?	36	0
70.118,00 ?	105	0
62.249,00 ?	25	0
65.659,00 ?	51	0
71.222,00 ?	115	0
68.820,00 ?	87	0
66.562,00 ?	73	0
67.010,00 ?	81	0
67.787,00 ?	93	0
67.177,00 ?	82	0
67.679,00 ?	86	0
69.253,00 ?	110	0
65.776,00 ?	61	0
65.042,00 ?	48	0
67.042,00 ?	67	0
67.495,00 ?	72	0
65.906,00 ?	69	0
71.100,00 ?	113	0
70.314,00 ?	104	0
64.844,00 ?	51	0
66.410,00 ?	63	0
66.867,00 ?	66	0
62.229,00 ?	20	0
68.090,00 ?	98	0
70.805,00 ?	105	0
65.075,00 ?	43	0
65.182,00 ?	64	0
69.637,00 ?	99	0
68.322,00 ?	75	0
62.408,00 ?	16	0
67.541,00 ?	70	0
62.967,00 ?	15	0
62.333,00 ?	14	0
63.494,00 ?	35	0
71.171,00 ?	109	0
63.651,00 ?	41	0
67.152,00 ?	67	0
61.522,00 ?	14	0
62.099,00 ?	13	0
64.450,00 ?	52	0
65.838,00 ?	50	0
65.695,00 ?	59	0
69.930,00 ?	96	0
69.390,00 ?	90	0
65.344,00 ?	40	0
70.227,00 ?	100	0
67.920,00 ?	94	0
62.834,00 ?	18	0
66.682,00 ?	66	0
64.722,00 ?	43	0
65.334,00 ?	64	0
70.123,00 ?	111	0
64.829,00 ?	56	0
65.442,00 ?	42	0
68.817,00 ?	80	0
68.390,00 ?	81	0
70.778,00 ?	104	0
71.041,00 ?	110	0
68.365,00 ?	90	0
70.006,00 ?	119	0
61.564,00 ?	9	0
65.723,00 ?	65	0
66.715,00 ?	56	0
71.130,00 ?	120	0
68.843,00 ?	108	0
68.689,00 ?	93	0
70.899,00 ?	111	0
64.587,00 ?	50	0
63.966,00 ?	27	0
62.847,00 ?	17	0
69.559,00 ?	109	0
66.005,00 ?	45	0
70.061,00 ?	102	0
64.418,00 ?	42	0
63.742,00 ?	28	0
65.736,00 ?	51	0
71.015,00 ?	116	0
70.347,00 ?	101	0
66.727,00 ?	79	0
63.984,00 ?	27	0
69.717,00 ?	96	0
63.845,00 ?	35	0
69.154,00 ?	101	0
70.035,00 ?	119	0
70.166,00 ?	118	0
67.221,00 ?	62	0
63.853,00 ?	48	0
68.602,00 ?	89	0
